borough,neighborhood,latitude,longitude
Bronx,Allerton,40.86578788,-73.85931863
Staten Island,Annadale,40.53811417,-74.17854866
Staten Island,Arden Heights,40.54928582,-74.18588675
Staten Island,Arlington,40.6353251,-74.1651042
Staten Island,Arrochar,40.59631257,-74.06712363
Queens,Arverne,40.58914394,-73.79199233
Queens,Astoria,40.76850859,-73.91565374
Queens,Astoria Heights,40.77031739,-73.89467996
Queens,Auburndale,40.76172955,-73.79176244
Brooklyn,Bath Beach,40.5995187,-73.99875221
Manhattan,Battery Park City,40.71193198,-74.01686931
Brooklyn,Bay Ridge,40.62580107,-74.03062069
Staten Island,Bay Terrace (Staten Island),40.55398801,-74.13916622
Queens,Bay Terrace (Queens),40.78284281,-73.77680223
Bronx,Baychester,40.86685811,-73.8357976
Queens,Bayside,40.76604063,-73.77427363
Queens,Bayswater,40.61132169,-73.76596781
Bronx,Bedford Park,40.87018516,-73.88551218
Brooklyn,Bedford Stuyvesant,40.68723161,-73.94178489
Queens,Beechhurst,40.7927814,-73.80436452
Queens,Bellaire,40.73301404,-73.73889199
Queens,Belle Harbor,40.57615557,-73.8540175
Queens,Bellerose,40.72857318,-73.72012815
Bronx,Belmont,40.8572771,-73.88845196
Brooklyn,Bensonhurst,40.6110089,-73.99517998
Brooklyn,Bergen Beach,40.61514955,-73.89855634
Queens,Blissville,40.73725072,-73.93244235
Staten Island,Bloomfield,40.60577868,-74.18725638
Brooklyn,Boerum Hill,40.68568291,-73.98374824
Brooklyn,Borough Park,40.63313051,-73.99049823
Queens,Breezy Point,40.55740129,-73.92551197
Queens,Briarwood,40.71093547,-73.81174822
Brooklyn,Brighton Beach,40.57682507,-73.96509449
Queens,Broad Channel,40.60302658,-73.82005489
Brooklyn,Broadway Junction,40.67786105,-73.90331685
Bronx,Bronxdale,40.85272298,-73.86172578
Brooklyn,Brooklyn Heights,40.69586372,-73.99378225
Queens,Brookville,40.66000323,-73.75175311
Brooklyn,Brownsville,40.66394994,-73.91023536
Staten Island,Bulls Head,40.6095918,-74.15940949
Brooklyn,Bushwick,40.69811611,-73.92525797
Staten Island,Butler Manor,40.50608165,-74.2295035
Queens,Cambria Heights,40.69277464,-73.73526874
Brooklyn,Canarsie,40.63556433,-73.9020927
Manhattan,Carnegie Hill,40.78268257,-73.95325647
Brooklyn,Carroll Gardens,40.68054023,-73.99465373
Bronx,Castle Hill,40.81901438,-73.8480273
Staten Island,Castleton Corners,40.61333594,-74.11918059
Manhattan,Central Harlem,40.81597607,-73.94321113
Staten Island,Charleston,40.53053148,-74.23215776
Staten Island,Chelsea (Staten Island),40.59472603,-74.18956046
Manhattan,Chelsea (Manhattan),40.74403471,-74.00311633
Manhattan,Chinatown,40.71561842,-73.99427936
Bronx,City Island,40.8472467,-73.78648845
Brooklyn,City Line,40.67856996,-73.86797598
Manhattan,Civic Center,40.71522892,-74.0054153
Bronx,Claremont Village,40.83142834,-73.90119903
Bronx,Clason Point,40.80655112,-73.85414416
Staten Island,Clifton,40.61917845,-74.07264245
Manhattan,Clinton,40.75910089,-73.99611936
Brooklyn,Clinton Hill,40.69322942,-73.96784306
Brooklyn,Cobble Hill,40.68791972,-73.99856139
Queens,College Point,40.78490275,-73.84304529
Staten Island,Concord,40.60447319,-74.08402365
Bronx,Concourse,40.83428381,-73.91558942
Bronx,Concourse Village,40.82478049,-73.91584653
Brooklyn,Coney Island,40.57429256,-73.98868296
Bronx,Co-op City,40.87429419,-73.82993911
Queens,Corona,40.74238175,-73.85682497
Bronx,Country Club,40.84424594,-73.82409927
Brooklyn,Crown Heights,40.67082918,-73.94329119
Brooklyn,Cypress Hills,40.68239101,-73.87661596
Brooklyn,Ditmas Park,40.64367518,-73.96101312
Staten Island,Dongan Hills,40.58867295,-74.09639905
Queens,Douglaston,40.7668461,-73.74249821
Brooklyn,Downtown,40.69084402,-73.98346337
Brooklyn,Dumbo,40.70317633,-73.98875281
Brooklyn,Dyker Heights,40.61921946,-74.01931376
Queens,East Elmhurst,40.76407324,-73.86704148
Brooklyn,East Flatbush,40.64171777,-73.93610256
Manhattan,East Harlem,40.79224947,-73.94418223
Brooklyn,East New York,40.6699257,-73.88069864
Bronx,East Tremont,40.84269616,-73.88735618
Manhattan,East Village,40.72784678,-73.98222617
Brooklyn,East Williamsburg,40.70849241,-73.93885815
Bronx,Eastchester,40.88755568,-73.82780645
Bronx,Edenwald,40.8845613,-73.84808272
Queens,Edgemere,40.59564181,-73.77613282
Bronx,Edgewater Park,40.82198612,-73.81388514
Staten Island,Egbertville,40.57911874,-74.12727241
Staten Island,Elm Park,40.63014674,-74.14181679
Queens,Elmhurst,40.74404851,-73.88165622
Staten Island,Eltingville,40.54223075,-74.1643308
Staten Island,Emerson Hill,40.60679439,-74.09776207
Brooklyn,Erasmus,40.64692607,-73.9481771
Queens,Far Rockaway,40.60313443,-73.75497968
Bronx,Fieldston,40.89543743,-73.9056426
Manhattan,Financial District,40.70710711,-74.01066545
Brooklyn,Flatbush,40.63632589,-73.95840107
Manhattan,Flatiron,40.73967305,-73.99094711
Brooklyn,Flatlands,40.63044604,-73.92911303
Queens,Floral Park,40.74137842,-73.70884706
Queens,Flushing,40.7644542,-73.831773
Bronx,Fordham,40.8609968,-73.89642656
Queens,Forest Hills,40.72526378,-73.84447501
Queens,Forest Hills Gardens,40.71461108,-73.84102211
Brooklyn,Fort Greene,40.68852726,-73.97290574
Brooklyn,Fort Hamilton,40.61476813,-74.03197915
Staten Island,Fox Hills,40.61731079,-74.08173992
Queens,Fresh Meadows,40.73439447,-73.78271337
Brooklyn,Fulton Ferry,40.70328109,-73.99550752
Brooklyn,Georgetown,40.62384524,-73.91607484
Brooklyn,Gerritsen Beach,40.59084843,-73.93010171
Queens,Glen Oaks,40.7494408,-73.71548119
Queens,Glendale,40.70276243,-73.87074167
Brooklyn,Gowanus,40.67393114,-73.99444087
Manhattan,Gramercy,40.73720983,-73.98137595
Staten Island,Graniteville,40.62017151,-74.15315246
Staten Island,Grant City,40.57621559,-74.10585599
Staten Island,Grasmere,40.59826836,-74.07667436
Brooklyn,Gravesend,40.59526001,-73.97347088
Staten Island,Great Kills,40.54948023,-74.14932381
Brooklyn,Greenpoint,40.73020098,-73.95424093
Staten Island,Greenridge,40.55529524,-74.17079415
Manhattan,Greenwich Village,40.72693289,-73.99991403
Staten Island,Grymes Hill,40.62418479,-74.0872482
