Date,BP us dollar of the day,US Domestic Oil Price (US $) PET_F000000__3_A,U.S. Landed Costs of Saudi Arabian Light Crude Oil isa4990008a,BP Arabian Light posted at Ras Tanura.,Crude Oil Prices: Brent – Europe  ACOILBRENTEU,Crude Oil Prices: West Texas Intermediate (WTI)  ACOILWTICO, Imported Crude Oil Price (refiner average imported crude oil acquisition cost) (PET.R1300____3.A),"U.S. Crude Oil Domestic Acquisition Cost by Refiners, Annual (PET.R1200____3.A)",Dubai Crude Oil Price opendataforafrica.org/IMFPCP2014Jan
1861,0.49,0.49,,,,,,,
1862,1.05,1.05,,,,,,,
1863,3.15,3.15,,,,,,,
1864,8.06,8.06,,,,,,,
1865,6.59,6.59,,,,,,,
1866,3.74,3.74,,,,,,,
1867,2.41,2.41,,,,,,,
1868,3.63,3.62,,,,,,,
1869,3.64,5.64,,,,,,,
1870,3.86,3.86,,,,,,,
1871,4.34,4.34,,,,,,,
1872,3.64,3.64,,,,,,,
1873,1.83,1.83,,,,,,,
1874,1.17,1.17,,,,,,,
1875,1.35,1.35,,,,,,,
1876,2.56,2.52,,,,,,,
1877,2.42,2.38,,,,,,,
1878,1.19,1.17,,,,,,,
1879,0.86,0.86,,,,,,,
1880,0.95,0.94,,,,,,,
1881,0.86,0.92,,,,,,,
1882,0.78,0.78,,,,,,,
1883,1,1.1,,,,,,,
1884,0.84,0.85,,,,,,,
1885,0.88,0.88,,,,,,,
1886,0.71,0.71,,,,,,,
1887,0.67,0.67,,,,,,,
1888,0.88,0.65,,,,,,,
1889,0.94,0.77,,,,,,,
1890,0.87,0.77,,,,,,,
1891,0.67,0.56,,,,,,,
1892,0.56,0.51,,,,,,,
1893,0.64,0.6,,,,,,,
1894,0.84,0.72,,,,,,,
1895,1.36,1.09,,,,,,,
1896,1.18,0.96,,,,,,,
1897,0.79,0.68,,,,,,,
1898,0.91,0.8,,,,,,,
1899,1.29,1.13,,,,,,,
1900,1.19,1.19,,,,,,,
1901,0.96,0.96,,,,,,,
1902,0.8,0.8,,,,,,,
1903,0.94,0.94,,,,,,,
1904,0.86,0.86,,,,,,,
1905,0.62,0.62,,,,,,,
1906,0.73,0.73,,,,,,,
1907,0.72,0.72,,,,,,,
1908,0.72,0.72,,,,,,,
1909,0.7,0.7,,,,,,,
1910,0.61,0.61,,,,,,,
1911,0.61,0.61,,,,,,,
1912,0.74,0.74,,,,,,,
1913,0.95,0.95,,,,,,,
1914,0.81,0.81,,,,,,,
1915,0.64,0.64,,,,,,,
1916,1.1,1.1,,,,,,,
1917,1.56,1.56,,,,,,,
1918,1.98,1.98,,,,,,,
1919,2.01,2.01,,,,,,,
1920,3.07,3.07,,,,,,,
1921,1.73,1.73,,,,,,,
1922,1.61,1.61,,,,,,,
1923,1.34,1.34,,,,,,,
1924,1.43,1.43,,,,,,,
1925,1.68,1.68,,,,,,,
1926,1.88,1.88,,,,,,,
1927,1.3,1.3,,,,,,,
1928,1.17,1.17,,,,,,,
1929,1.27,1.27,,,,,,,
1930,1.19,1.19,,,,,,,
1931,0.65,0.65,,,,,,,
1932,0.87,0.87,,,,,,,
1933,0.67,0.67,,,,,,,
1934,1,1,,,,,,,
1935,0.97,0.97,,,,,,,
1936,1.09,1.09,,,,,,,
1937,1.18,1.18,,,,,,,
1938,1.13,1.13,,,,,,,
1939,1.02,1.02,,,,,,,
1940,1.02,1.02,,,,,,,
